key,en,de,es,fr,zh
T_STORY_FRICTION,"Wait a second, don't move! These values make no sense but it looks like you might be damaged as you move?! Tread carefully!","Warte mal, nicht bewegen! Diese Werte machen keinen Sinn, aber es sieht so aus, als würdest du Schaden nehmen wenn du dich bewegst?! Vorsichtig!","¡Espera un segundo, no te muevas! ¿Estos valores no tienen sentido, pero parece que podrías estar dañado a medida que te mueves? ¡Ve con cuidado!","Attendez une seconde, ne bougez pas! Ces valeurs n'ont aucun sens, mais il semble que vous pourriez être endommagé lorsque vous bougez ?! Marchez soigneusement!",等一下，不要动！这些价值没有意义，但是看起来您可能会损坏吗？小心！
T_STORY_KEEP_MOVING,Oh what a nasty trick: this targeted power surge will follow you – you have got to keep moving!,"Oh, was für ein böser Trick: ein gezielter Blitzschlag, der dir folgen wird - bleib in Bewegung!","Oh, qué truco tan desagradable: esta oleada de poder dirigida te seguirá: ¡tienes que seguir moviéndote!",Oh quelle mauvaise astuce: cette surtension ciblée vous suivra - vous devez continuer à bouger!,哦，这是一个令人讨厌的技巧：这种有针对性的动力激增将跟随您 - 您必须继续前进！
T_STORY_BLOCK_EXIT,Oh no! I totally forgot about these old maintenance tunnels; don't let them escape or we're doomed!,Ach nein! Ich habe diese alten Wartungstunnel total vergessen. Lass sie nicht entkommen oder wir sind zum Scheitern verurteilt!,"¡Oh, no! Me olvidé totalmente de estos viejos túneles de mantenimiento; ¡No los dejes escapar o estamos condenados!",Oh non! J'ai totalement oublié ces anciens tunnels d'entretien; Ne les laissez pas s'échapper ou nous sommes condamnés!,不好了！我完全忘记了这些古老的维护隧道。不要让他们逃脱，否则我们注定要失败！
T_TYPE_FRICTION,Painful moves,Schmerzende Bewegung,Movimientos dolorosos,Mouvements douloureux,痛苦的举动
T_TYPE_KEEP_MOVING,Keep moving,Bewege dich,Sigue moviendote,Continuer à bouger,继续移动
T_BLOCK_EXIT,Block the exit,Blockiere den Ausgang,Bloquear la salida,Bloquer la sortie,阻止出口
T_MASOCHISM,Masochism,Masochismus,Masoquismo,Masochisme,受虐狂
T_MASOCHISM_DESCRIPTION,Lose some of your health.,Verliere einen Teil deines Lebens.,Pierde algo de tu salud.,Perdre une partie de votre santé.,失去一些健康。
T_FLAG_LIFE_STEAL,Regenerate health upon eliminating an enemy.,Regeneriere Leben für jeden eliminierten Feind.,Regenerar la salud al eliminar a un enemigo.,Régénérer la santé lors de l'élimination d'un ennemi.,消除敌人后，再生健康。
T_ENTANGLER,Entangler,Verschränker,Entrelazador,Intricateur,纠缠
T_FLAG_LIFE_LINK,"Whenever you lose health, all enemies lose as much – as long as they stay above 1%.","Wenn du Leben verlierst, vierlieren alle Feinde genauso viel – solange sie über 1% bleiben.","Cada vez que pierdes la salud, todos los enemigos pierden tanto, siempre que permanezcan por encima del 1%.","Chaque fois que vous perdez la santé, tous les ennemis perdent autant - tant qu'ils restent au-dessus de 1%.",每当您失去健康时，所有敌人都会失去很多 - 只要他们保持在1％以上。
T_FOLDER,Folder,Ordner,Carpeta,Dossier,文件夹
T_NEW_FOLDER,New Folder,Neuer Ordner,Nueva carpeta,Nouveau dossier,新建文件夹
T_FLAG_DOUBLE_DIFFICULTY,Choose two difficulty upgrades after each sector.,Wähle zwei Schwierigkeits-Upgrades nach jedem Sektor.,Elija dos actualizaciones de dificultad después de cada sector.,Choisissez deux mises à niveau de difficulté après chaque secteur.,在每个部门之后选择两个困难升级。
T_STATS,Stats,Statistiken,Estadísticas,Statistiques,统计
T_PLAYER,Player,Spieler,Jugador,Joueur,球员
T_FLAG_FOG_OF_WAR,Your vision is limited.,Deine Sicht ist eingeschränkt.,Tu visión es limitada.,Votre vision est limitée.,您的视野有限。
T_FLAG_FRICTION,Lose 1% of your maximum health upon moving if you have more than 1% left.,"Bei jeder Bewegung verlierst du 1% deiner maximalen Gesundheit, falls du mehr als 1% hast.",Pierda el 1% de su salud máxima al moverse si le queda más del 1%.,Perdez 1% de votre santé maximale en déménageant s'il vous reste plus de 1%.,如果您剩下1％以上，则在移动后将损失最大健康状况的1％。
T_FINAL_THANK_YOU,They're all gone! Thank you for saving the system!,"Das waren alle! Danke, dass du das System gerettet hast!",¡Todos se han ido! ¡Gracias por guardar el sistema!,Ils sont tous partis! Merci d'avoir sauvé le système!,他们都走了！感谢您保存系统！
T_SCORE,Score,Punktzahl,Puntaje,Score,分数
T_CHOOSE_DIFFICULTY,Choose Difficulty,Wähle Schwierigkeit,Elegir dificultad,Choisissez la difficulté,选择难度
T_KILO,Kilo,Kilo,Kilo,Kilo,公斤
T_MEGA,Mega,Mega,Mega,Méga,巨型
T_GIGA,Giga,Giga,Giga,Giga,千兆
T_LANGUAGE,English,Deutsch,Español,Francais,简体中文
T_ABANDON_RUN,Abandon Run,Spiel aufgeben,Abandonar ejecución,Abandonner,放弃游戏
T_ACHIEVEMENT_UNLOCKED,Achievement Unlocked,Errungenschaft freigeschaltet,Logro desbloqueado,Succès déverrouillé,成就已解锁
T_ACHIEVEMENTS,Achievements,Errungenschaften,Logros,Succès,成就
T_ACTION_JACKSON,Action Jackson,Action Jackson,de Acción Jackson,Action Jackson,杰克逊行动
T_ARCHIVE_KEY,Archive Key,Archiv-Schlüssel,Clave de archivo,Clé de l'Archive,存档钥匙
T_ARTFUL_DODGER,Artful Dodger,Raffinierter Ausreißer,Artista evasivo,Acrobate Astucieux,巧妙的闪躲
T_ARTISAN_DESCRIPTION,Augment 100 times.,Steigere hundertmal eine Variable.,Aplica 100 aumentos.,Augmenter 100 fois.,扩增100次。
T_ARTISAN,Artisan,Kunsthandwerker,Artesano,Artisan,工匠
T_AUGMENT_CAP,Augment Cap,Steigerungslimit,Límite de aumento,Max,扩增帽
T_AUGMENT_DESCRIPTION,Increase an variable's value.,Steigere den Wert einer Variable.,Mejora el valor de una variable.,Augmenter la valeur d'une variable,增加一个变量的价值。
T_AUGMENT_STEP,Augment Step,Steigerungsschritt,Paso de aumento,Bonus de rang,扩增步骤
T_AUGMENT,Augment,Steigern,Aumento,Augmenter,扩增
T_AUTO_EQUIP_HELP,Install parts in empty slots,Leere Steckplätze mit neuen Komponenten füllen.,Instala partes automáticamente en ranuras vacías.,Installe des composants dans les emplacements vides,在空槽中安装零件
T_AUTO_EQUIP,Auto-Install,Auto-Installieren,Autoinstalar,Installation automatique,自动安装
T_AUTO_SALVAGE_HELP,Salvage everything in the inbox,Neue Komponenten verwerten.,Desmontar todo en la bandeja,Recycle tous les composants,收件箱内容恢复
T_BACK,Back,Zurück,Desmontar todo en la bandeja,Retour,后退
T_BAUD_DESCRIPTION,Has the teleport script.,Hat das Teleport-Skript.,"Tiene el script ""Teletransporte"".",Possède le script de téléportation,拥有传送脚本。
T_BAUD,Baud,Baud,Baudio,Baud,波特
T_BEEPER,Beeper,Beeper,Beeper,Beeper,蜂鸣器
T_BEGINNING_OF_THE_END_DESCRIPTION,Clear level 100.,Schaffe Level 100.,Completa el nivel 100.,Compléter le niveau 100.,通关100级。
T_BEGINNING_OF_THE_END,The Beginning of the End,Der Anfang vom Ende,El principio del fin,Le Début de la Fin,结束的开端
T_BFG,BFG-9000,BFG-9000,BFG-9000,BFG-9000,BFG-9000
T_BITSHIFT,Bitshift,Bitverschiebung,Desplazador de bits,Bitplacement,位移
T_BLASTER,Blaster,Blaster,Bláster,Blaster,冲击波
T_BLOCKED,Blocked,Blockiert,Bloqueado,Bloqué,受阻
T_BRAGGING_RIGHTS_DESCRIPTION,Clear level 100 in ladder mode.,Schaffe Level 100 im Ranglisten-Modus.,Completa el nivel 100 en el modo Carrera.,Compléter le niveau 100 en mode compétitif.,在阶梯模式下通关100级。
T_BRAGGING_RIGHTS,Bragging Rights,Angeber-Rechte,Derecho a presumir,Droit de Frimer,炫耀的权利
T_BUFFER_DESCRIPTION,Cannot move and only attacks cardinally adjacent enemies.,Kann sich nicht bewegen und greift nur kardinal benachbarte Gegner an.,No puede moverse y solo ataca a los enemigos que estén cerca.,Ne peut pas bouger et n'attaque que des ennemis cardinalement adjacents.,不能移动，只能攻击心形相邻的敌人。
T_BUFFER,Buffer,Puffer,Buffer,Tampon,缓冲
T_BYTE_DESCRIPTION,Slow but packs a punch.,"Langsam, aber schlagkräftig.","Lento, pero golpea fuerte.","Lent, mais très robuste.",速度慢，但却很有力。
T_BYTE,Byte,Byte,Byte,Octet,字节
T_CALAMITOUS,Calamitous,Unheilvoll,de Calamidad,Calamiteux,灾难性的
T_CANNON,Cannon,Kanone,Cañón,Canon,大炮
T_CHALLENGER_DESCRIPTION,Clear level 50 in ladder mode.,Schaffe Level 50 im Ranglisten-Modus.,Completa el nivel 50 en el modo Carrera.,Compléter le niveau 50 en mode compétitif.,在阶梯模式下通关50级。
T_CHALLENGER,Challenger,Herausforderer,Contendiente,Challenger,挑战者
T_CHANGELOG,Changelog,Änderungsliste,Historial,Notes de mise à jour,更新日志
T_CHARGE_SHIELDS,Charge Shields,Schilde aufladen,Cargar escudos,Recharger Boucliers,充电护盾
T_CHARGED_CREEPER,Charged Creeper,Geladener Creeper,Creeper cargado,Creeper rechargé,充电的爬行者
T_CHARGER_DESCRIPTION,Has the Dash and Slash script.,Hat das Sprintattacken-Skript.,"Tiene el script ""Lanzarse y atacar"".",Possède le script d'Attaque-éclair,有冲刺和斜线脚本。
T_CHARGER,Charger,Sprinter,Cargador,Chargeur,充电器
T_CHIP,Chip,Chip,Chip,Chip,芯片
T_CHIPSET,Chipset,Chipset,Conjunto de chip,Puce,芯片组
T_CHOOSE,Choose,Auswählen,Elegir,Choisir,选择
T_CIRCUIT_DESCRIPTION,"Only rolls variables, no scripts.","Rollt nur Variablen, keine Skripte.",Solo carga variables (no carga scripts).,"Obtient uniquement des variables aléatoires, mais aucun script.",只有滚动的变量，没有脚本。
T_CIRCUIT,Circuit,Schaltkreis,Circuito,Circuit,电路
T_CLOSE_CALL_DESCRIPTION,Finish a level with health below 5%.,Beende einen Level mit einem Lebenspunktestand unter 5%.,Completa un nivel con la salud por debajo del 5 %.,Terminer un niveau avec moins de 5 % de santé.,在健康状况低于5%的情况下完成一关。
T_CLOSE_CALL,Close Call,Um Haaresbreite,Por los pelos,De Justesse,近距离通话
T_CLOSE,Close,Schließen,Cerrar,Fermer,关闭
T_COLLECTOR_DESCRIPTION,Install a complete set.,Installieren Sie ein komplettes Set.,Instala un conjunto completo.,Installer un Set complet.,安装一套完整的设备。
T_COLLECTOR,Collector,Sammler,Recolector,Collectionneur,收藏家
T_COMMON_SENSE_DESCRIPTION,Beat level 1-25 using only common parts.,Besiege Level 1-25 nur mit gewöhnlichen Komponenten.,Completa el nivel 1-25 usando solo partes comunes.,Compléter les niveaux 1 à 25 en utilisant uniquement des équipements de rareté commune.,只用普通的零件就能击败第1-25关。
T_COMMON_SENSE,Common Sense,Normal halt,Sentido común,Bon Sens,常识
T_COMMUNITY,Community,Community,Comunidad,Communauté,社区
T_COMPANION_CUBE,Companion Cube,Begleiterkubus,Cubo acompañante,Cube de compagnie,伴侣立方体
T_COMPARE,Compare,Vergleichen,Comparar,Comparer,比较
T_COMPLETIONIST_DESCRIPTION,Unlock every other achievement.,Schalte jede andere Errungenschaft frei.,Desbloquea todos los logros.,Déverrouiller tous les Succès.,解锁其他所有成就。
T_COMPLETIONIST,Completionist,Vollendungsfanatiker,Completista,Complétiste,完成者
T_CONTINUE,Continue,Weiter,Continuar,Continuer,继续
T_COSMIC,Cosmic,Kosmische,del Cosmos,Cosmique,宇宙
T_COUNTER_CHANCE_DESCRIPTION,Chance to counter attack in melee range.,Chance auf einen Konter in Nahkampfreichweite.,Probabilidad de ejecutar un contraataque cuerpo a cuerpo.,Chance de contrer les attaques de mêlée,有机会在近战范围内进行反击。
T_COUNTER_CHANCE,Counter Chance,Konter-Chance,Probabilidad de contraataque,Chance de Riposte,反击的机会
T_COUNTER,Counter,Konter,Contraataque,Riposte,反击
T_CREDITS,Credits,Credits,Créditos,Crédits,分数
T_CRIT_CHANCE_DESCRIPTION,Chance for a critical strike.,Chance auf einen kritischen Treffer.,Probabilidad de ejecutar un golpe crítico.,Chance de délivrer un coup critique lors d'une attaque,有机会获得致命一击。
T_CRIT_CHANCE,Critical Chance,Kritische Treffer-Chance,Probabilidad de golpe crítico,Chance de Coup critique,关键机会
T_CRITICAL_BIT,Critical Bit,Kritisches Bit,Golpe crítico,Bit Critique,关键位
T_CRITICAL_BONUS_DESCRIPTION,Bonus damage for critical strikes.,Bonusschaden bei kritischen Treffern.,Bonificación de daño al asestar golpes críticos.,Dégât bonus pour les coups critiques,对致命一击有额外的伤害奖励。
T_CRITICAL_BONUS,Critical Bonus,Kritischer Treffer-Bonus,Bonificación de golpe crítico,Bonus de Coup Critique,关键奖励
T_DAMAGE_BONUS_DESCRIPTION,Increases the damage you deal.,Erhöht deinen verursachten Schaden.,Aumenta el daño infligido.,Augmente les dommages infligés.,增加你的伤害。
T_DAMAGE_BONUS,Damage Bonus,Schadensbonus,Bonificación de daño,Bonus de dégâts,伤害奖励
T_DAMAGE,Damage,Schaden,Daño,Dégâts,损害
